Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Label
0.208562,0.978743,1.960636,2.994475,3.901356,5.119766,5.847744,7.034196,7.658167,9.337053,0.000000
-0.062435,0.987996,1.988122,3.033391,4.082521,4.963718,6.086635,7.023241,8.081719,8.863164,0.000000
-0.028040,0.960802,2.027902,2.999194,4.065018,4.963087,6.069423,7.005567,7.963931,9.000310,0.000000
-0.072397,0.963012,2.070290,3.084106,4.037824,4.955134,6.129351,7.039037,7.998264,8.956564,0.000000
-0.040825,0.951306,2.011283,3.124966,3.987389,4.935526,6.122177,7.037202,7.948717,8.987606,0.000000
0.004992,0.957495,1.982099,3.106091,4.009587,4.880144,6.160825,7.073500,7.967386,9.005744,0.000000
0.010952,0.921500,1.985196,3.099951,3.977866,4.839792,6.212206,7.073583,7.904734,9.022757,0.000000
0.046175,0.923342,2.024510,3.152181,3.983291,4.817105,6.275724,7.101502,7.956058,8.970474,0.000000
0.104692,0.852451,2.009913,3.151816,3.957834,4.778713,6.248377,7.081487,7.934257,8.987000,0.000000
0.134232,0.833097,1.966080,3.153535,3.951845,4.790867,6.253057,7.107183,7.918152,8.982258,0.000000
0.087720,0.872405,1.928655,3.165561,3.879374,4.826354,6.328454,7.090436,7.894772,9.035183,0.000000
0.097489,0.878652,1.975052,3.242488,3.909666,4.856494,6.263913,7.061108,7.951267,9.093548,0.000000
0.105549,0.892923,1.933760,3.292867,3.871851,4.881026,6.160296,6.999101,7.885656,9.130573,0.000000
0.083822,0.834747,1.850094,3.339604,3.843775,4.891773,6.082825,6.973132,7.915425,9.088524,0.000000
0.055269,0.752974,1.790522,3.292356,3.815435,4.866995,6.006409,7.003528,7.844148,9.101572,0.000000
0.031083,0.851680,1.837260,3.230068,3.798567,4.767961,6.006078,6.972803,7.832004,9.130849,0.000000
0.022822,0.886374,1.859641,3.229586,3.792790,4.729849,5.991026,6.981865,7.837902,9.197776,0.000000
0.086324,0.887173,1.797030,3.186549,3.848725,4.802035,5.941094,6.992030,7.828573,9.207619,0.000000
0.106475,0.943480,1.759547,3.119934,3.853332,4.806361,5.998391,7.007276,7.852583,9.212997,0.000000
0.103355,0.953515,1.705306,3.137715,3.879756,4.871955,5.971865,6.953195,7.783440,9.226183,0.000000
0.145557,0.959686,1.715398,3.161605,3.871000,4.889987,5.904481,6.900273,7.760770,9.276323,0.000000
0.172556,0.950206,1.723719,3.157633,3.823428,4.848532,5.917709,6.913707,7.777447,9.262095,0.000000
0.143808,0.908523,1.682310,3.165689,3.832058,4.809654,5.900274,6.950055,7.753220,9.199744,0.000000
0.168151,0.896253,1.698910,3.130612,3.833387,4.811747,5.861642,6.964939,7.732700,9.198966,0.000000
0.220444,0.893066,1.706738,3.122919,3.820609,4.834537,5.823389,7.005143,7.716127,9.204568,0.000000
0.222691,0.973135,1.689075,3.169688,3.854349,4.879470,5.885951,7.020848,7.768965,9.249945,0.000000
0.291964,0.991302,1.667100,3.170963,3.874754,4.922605,5.911594,7.102066,7.827394,9.286437,0.000000
0.336511,1.032995,1.669060,3.161497,3.867319,4.959356,5.849852,7.082408,7.833357,9.250919,0.000000
0.301903,1.041232,1.703334,3.095803,3.934698,4.998071,5.865485,7.081138,7.783996,9.218340,0.000000
0.315122,1.038602,1.774434,3.123521,3.975349,5.020752,5.893914,7.108514,7.776425,9.220162,0.000000
0.334201,0.984150,1.764018,3.165630,3.991432,5.139428,5.957120,7.100480,7.792882,9.240939,0.000000
0.319063,0.936505,1.736453,3.136309,4.049959,5.207096,5.961854,7.098699,7.823302,9.231348,0.000000
0.298017,0.946389,1.822855,3.146291,4.030407,5.203271,5.933714,7.086556,7.808272,9.232700,0.000000
0.326507,0.936442,1.897066,3.181034,4.024047,5.171042,5.889933,7.082816,7.733089,9.263503,0.000000
0.341170,0.905579,1.887442,3.229943,4.030506,5.162010,5.862487,7.143169,7.707886,9.253247,0.000000
0.356974,0.902410,1.849546,3.255794,3.996227,5.120587,5.833524,7.145597,7.750524,9.185831,0.000000
0.307488,0.889295,1.826651,3.342218,3.961098,5.113448,5.803427,7.095287,7.731310,9.164707,0.000000
0.346667,0.843231,1.873455,3.329224,3.988164,5.140060,5.778012,7.091670,7.714632,9.107963,0.000000
0.328357,0.904679,1.891548,3.275135,3.995024,5.160968,5.758406,7.061941,7.744926,9.106322,0.000000
