Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Label
-0.104136,0.791095,1.916809,2.983503,4.116011,4.911285,5.958636,6.735347,8.144616,8.920479,0.000000
-0.011052,1.003697,1.983080,3.046987,3.967630,4.982583,6.080485,6.933146,7.937422,8.978694,0.000000
-0.080066,0.983489,1.914212,3.020699,3.938831,4.953136,6.075279,6.837488,7.951100,8.955562,0.000000
-0.072855,0.957920,1.947393,2.980784,3.896986,5.002110,6.088924,6.873502,7.937893,8.933429,0.000000
-0.028984,0.911522,1.928534,2.969537,3.929982,4.983889,6.136216,6.862674,7.986205,8.919840,0.000000
-0.035862,0.923240,1.993418,2.938070,3.921695,4.949353,6.102248,6.854078,7.997141,8.956721,0.000000
0.010640,0.916485,2.059151,2.968241,3.884506,4.901968,6.083410,6.830552,7.924513,8.954365,0.000000
0.024448,1.023469,2.035060,3.057419,3.849462,4.984713,6.035526,6.886130,7.912192,8.930377,0.000000
0.000915,1.053910,2.030195,3.110974,3.831589,4.949567,6.090299,6.844660,7.867113,8.890883,0.000000
0.012289,1.116029,2.053019,3.089399,3.764307,4.957888,6.085023,6.776909,7.845596,8.980048,0.000000
0.025849,1.095968,2.062496,3.065157,3.722878,4.985685,6.144857,6.683644,7.856009,8.956643,0.000000
0.020143,1.128682,2.124333,3.061066,3.680924,5.049112,6.083296,6.631542,7.889934,8.938220,0.000000
0.037024,1.128182,2.126878,3.090224,3.695034,5.083311,6.066279,6.592063,7.966783,8.945067,0.000000
0.034664,1.187093,2.178109,3.072457,3.724925,5.062939,6.083847,6.649839,8.066264,8.970795,0.000000
0.047022,1.199613,2.243462,3.179561,3.709974,5.090021,6.121702,6.669709,8.074614,8.944175,0.000000
0.044505,1.264004,2.231960,3.261147,3.694892,5.113909,6.090433,6.666548,8.103406,9.017056,0.000000
0.025573,1.339900,2.247508,3.225877,3.767716,5.062553,6.085851,6.678136,8.100975,8.936732,0.000000
0.063820,1.315421,2.187055,3.190084,3.816797,5.042624,6.041875,6.670814,8.153610,8.930493,0.000000
-0.002545,1.292152,2.230657,3.179747,3.862413,5.030934,6.020354,6.623732,8.119994,8.965580,0.000000
-0.019187,1.324175,2.238969,3.192499,3.869489,4.993640,6.040337,6.623031,8.042089,8.935331,0.000000
-0.000844,1.359406,2.237668,3.295684,3.867953,4.941600,6.029500,6.581939,8.119753,8.879129,0.000000
0.022602,1.416919,2.234980,3.248605,3.818409,4.966402,6.100967,6.586180,8.085898,8.879612,0.000000
0.044901,1.333535,2.172295,3.239393,3.812029,4.979734,6.113455,6.647780,8.058806,8.925030,0.000000
0.060304,1.318313,2.098954,3.282017,3.868428,4.951378,6.184970,6.698327,8.060211,8.936344,0.000000
0.057834,1.282209,2.042276,3.298287,3.889668,4.881856,6.176651,6.619579,8.144442,8.923602,0.000000
0.065061,1.309844,2.014758,3.353252,3.909925,4.924387,6.202674,6.544375,8.114392,8.937404,0.000000
0.062463,1.264090,2.011595,3.391624,3.957166,4.946155,6.209266,6.458476,8.160395,8.993575,0.000000
0.059232,1.265364,1.966825,3.469724,4.000247,4.958144,6.148510,6.451146,8.167566,8.986448,0.000000
0.044947,1.228157,1.951083,3.491777,3.990523,4.922029,6.189020,6.495141,8.181136,9.015134,0.000000
0.085032,1.233680,1.897191,3.534291,4.020820,4.934797,6.245741,6.605745,8.218850,9.054647,0.000000
0.139290,1.175807,1.915667,3.498381,4.102639,4.954617,6.236512,6.611721,8.127801,9.020590,0.000000
0.156823,1.151989,1.927841,3.432297,4.081833,4.942881,6.187648,6.647557,8.102011,9.027546,0.000000
0.133459,1.145983,1.954341,3.384901,4.077435,5.032443,6.186732,6.650253,8.096105,9.034681,0.000000
0.163924,1.090632,1.924802,3.381880,4.077596,5.029178,6.113837,6.666764,8.108369,9.061444,0.000000
0.182459,1.074072,1.950603,3.395747,4.015267,5.051691,6.125774,6.620577,8.118903,9.100445,0.000000
0.124127,1.084333,1.945165,3.371297,4.043490,5.007582,6.131087,6.556499,8.093060,9.079514,0.000000
0.071538,0.980738,1.899415,3.392032,4.084025,4.989375,6.150851,6.495315,8.101959,9.092230,0.000000
0.075237,1.009704,1.866069,3.376961,4.021451,4.897477,6.116576,6.516780,8.061796,9.042510,0.000000
0.100394,1.042495,1.816178,3.301828,3.959868,4.828209,6.051167,6.549005,8.074794,9.007940,0.000000
0.063211,1.062193,1.813861,3.283090,4.008824,4.798540,6.021549,6.599587,8.116662,9.058456,0.000000
0.025762,1.041654,1.786180,3.260452,4.036934,4.779432,5.982016,6.573194,8.079913,9.109868,0.000000
0.027366,1.054109,1.744678,3.244800,4.039856,4.756985,5.997983,6.548749,8.098110,9.137204,0.000000
0.029249,1.095249,1.720768,3.241284,4.030771,4.785145,5.978353,6.540436,8.072083,9.168673,0.000000
0.041915,1.138334,1.719892,3.210830,4.013796,4.832820,6.033442,6.470528,8.075601,9.099650,0.000000
0.037223,1.176340,1.742430,3.214037,4.007506,4.874646,6.013240,6.457057,8.060986,9.132824,0.000000
0.005007,1.159957,1.697783,3.162366,3.948287,4.844352,6.002798,6.451056,8.079191,9.114041,0.000000
-0.026701,1.164667,1.694845,3.222276,3.998386,4.883314,5.986443,6.505590,8.051685,9.068039,0.000000
-0.028815,1.177076,1.706974,3.200134,3.963572,4.932195,6.005710,6.470600,8.106696,9.038052,0.000000
